StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Page1,Q_Country,Q_Ethnicity,Q_Genres,Q_GenreOther,Q_Age,Q_Musicianship,Baseline_Teental,Baseline_Rupak,Base_Teental_sd1_1,Base_Teental_Complex_1,Base_Teental_sp1_1,Base_Teental_Basic_1,Base_Teental_Naturl_1,Teental Tutorial,1. Dadra,5. Keherva,4. Jhaptal,2. Deepchandi,3. TeentalComplex,Testing_Teental,Test_Teental_sd1_1,Test_Teental_Complex_1,Test_Teental_sp1_1,Test_Teental_Basic_1,Test_Teental_Naturl_1,Test_Teental_Naturll_1,Base_Rupak_sd1_1,Base_Rupak_Complex_1,Base_Rupak_sp1_1,Base_Rupak_Basic_1,Base_Rupak_Naturl_1,Rupak_Tutorial,1. Dadra,3. Rupak Complex,5. Keherva,4.Jhaptal,2. Deepchandi,Testing_Rupak,Test_Rupak_sd1_1,Test_Rupak_Complex_1,Test_Rupak_sp1_1,Test_Rupak_Basic_1,Test_Rupak_Naturl_1,Test_Rupak_Naturl2_1,SC0,SC1,Score,Score1.2,Score 1.3,Score 1.4,Score2,Score2.2,Score2.3,Score2.4
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Study Title: Learning long patterns of North Indian classical rhythms  

Researchers: Miss Nashra Ahmad, Dr Martin Clayton, Dr Tuomas Eerola  

Contact email: nashra.ahmad@durham.ac.uk  

 

The experiment should take 5-10 minutes of your time. You may discontinue and quit the experiment anytime during the investigation. Please ensure you are in a comfortable environment and can listen to the sounds clearly.  

 

What is this study about?  

This experiment is being conducted to understand how people learn and understand Indian rhythms.  

What will this study involve?  

The study will take place completely online. It will involve listening to some sound files and answering some simple questions. It will take 5-10 minutes of your time.  

The experiment is divided into three parts:  

In the first part, you will listen to one Indian rhythm and be asked to rate some other patterns according to how similar you think they are to the first one you heard.  

In the second part, you will watch a video explaining one Indian rhythm to familiarize yourself with that pattern. You can take as much time as you want and will move to the next part of the experiment after recognizing the pattern correctly a few times.    

In the last part of the experiment, which follows the same format as the first part, you will again be asked to rate the similarity of various rhythms to a reference pattern.  

How will the data be used and stored?  

The data will be used for the PhD thesis of the researcher (Nashra Ahmad). The results from the data will be presented at conferences and potentially published in journals. The analysis will be completely anonymized, and your name will not be reported anywhere.  

The data will be securely stored in a password-protected online drive, shared only among the researchers.    

What if you change your mind about your participation?  

You can withdraw your participation anytime while doing the experiment. Incomplete data will be discarded and deleted. As the data is not linked to your name or identity, you will not be able to withdraw your data after participation, as the researchers can no longer identify which data set is yours.  

Who can I contact if I have questions or concerns?  

You can contact the PhD candidate and experimenter Nashra Ahmad (nashra.ahmad@durham.ac.uk) for any further questions. 

  

Consent Statements: 

1. I confirm that I have read and understand the above information about the project  

2. I understand that my participation is voluntary and that I am free to withdraw at any time without giving any reason  

4. I agree to take part in the above project  

5. I have been informed about how the data will be used and stored 

  

I confirm that I have read and understood all the above information:",List of Countries,What best describe your ethnic group? (Example: Asian- Indian),Select the genres of music you listen to?,Can you state the other genres?,How old are you today? (Age in Years:),Which title best describes you?,"Listen to this pattern as a cue for the following questions. Remember to keep the volume up so that you can hear the pattern properly.






Please check the box to proceed after you have heard the pattern properly. You will not get this cue again.","Listen to this pattern as a cue for the following questions. Remember to keep the volume up so that you can hear the pattern properly.




Please check the box to proceed after you have heard the pattern properly. You will not get this cue again.",Base_Teental_sd1,Base_Teental_Complex,Base_Teental_sp1,Base_Teental_Basic,Base_Teental_Naturl,"This is a tutorial video for the Indian Rhythm 'Teen Tal', which has 16 beats. You may watch it as many times as you want. Please note that you cannot come back to watch it if you proceed.",Is this the Teen Tal pattern?,Is this the Teen tal pattern?,Is this the Teen Tal pattern?,Is this the Teen Tal Pattern?,Is this the Teen tal pattern?,"Listen to this pattern as a cue for the following questions. Remember to keep the volume up so that you can hear the pattern properly.






Please check the box to proceed after you have heard the pattern properly. You will not get this cue again.",Test_Teental_sd1,Test_Teental_Complex,Test_Teental_sp1,Test_Teental_Basic,Test_Teental_Naturl,Test_Teental_Naturll,Base_Rupak_sd1,Base_Rupak_Complex,Base_Rupak_sp1,Base_Rupak_Basic,Base_Rupak_Naturl,"This is a tutorial video for the Indian Rhythm 'Rupak Tal', which has 7 beats. You may watch it as many times as you want. Please note that you cannot come back to watch it if you proceed.",Is this the Rupak Tal pattern?,Is this pattern Rupak Tal?,Is this pattern Rupak tal?,Is this pattern Rupak Tal?,Is this the Rupak Tal Pattern?,"Listen to this pattern as a cue for the following questions. Remember to keep the volume up so that you can hear the pattern properly.




Please check the box to proceed after you have heard the pattern properly. You will not get this cue again.",Test_Rupak_sd1,Test_Rupak_Complex,Test_Rupak_sp1,Test_Rupak_Basic,Test_Rupak_Naturl,Test_Rupak_Naturl2,Practice,Practice2,Score,Score1.2,Score 1.3,Score 1.4,Score2,Score2.2,Score2.3,Score2.4
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID150_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID149""}","{""ImportId"":""QID1""}","{""ImportId"":""QID114""}","{""ImportId"":""QID116_4""}","{""ImportId"":""QID117_4""}","{""ImportId"":""QID118_4""}","{""ImportId"":""QID119_4""}","{""ImportId"":""QID120_4""}","{""ImportId"":""QID35""}","{""ImportId"":""QID40""}","{""ImportId"":""QID54""}","{""ImportId"":""QID51""}","{""ImportId"":""QID44""}","{""ImportId"":""QID48""}","{""ImportId"":""QID112""}","{""ImportId"":""QID128_4""}","{""ImportId"":""QID129_4""}","{""ImportId"":""QID130_4""}","{""ImportId"":""QID131_4""}","{""ImportId"":""QID132_4""}","{""ImportId"":""QID152_4""}","{""ImportId"":""QID123_1""}","{""ImportId"":""QID124_1""}","{""ImportId"":""QID125_1""}","{""ImportId"":""QID126_1""}","{""ImportId"":""QID127_1""}","{""ImportId"":""QID36""}","{""ImportId"":""QID89""}","{""ImportId"":""QID95""}","{""ImportId"":""QID107""}","{""ImportId"":""QID104""}","{""ImportId"":""QID92""}","{""ImportId"":""QID57""}","{""ImportId"":""QID133_1""}","{""ImportId"":""QID134_1""}","{""ImportId"":""QID135_1""}","{""ImportId"":""QID136_1""}","{""ImportId"":""QID137_1""}","{""ImportId"":""QID153_1""}","{""ImportId"":""SC_9NUXwJ3ANPrX1eC""}","{""ImportId"":""SC_6QjCJ2nrfxnKDiK""}","{""ImportId"":""Score""}","{""ImportId"":""Score1.2""}","{""ImportId"":""Score 1.3""}","{""ImportId"":""Score 1.4""}","{""ImportId"":""Score2""}","{""ImportId"":""Score2.2""}","{""ImportId"":""Score2.3""}","{""ImportId"":""Score2.4""}"
07/09/2023 17:00,07/09/2023 17:10,100,619,TRUE,07/09/2023 17:10,R_2WDzA7IgRJPp3JF,,,,,47.3167,5.0139,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,White British,"Jazz ,Pop ,Opera ,Folk ,Western Classical ",,29,Semiprofessional musician,Continue,,Moderately Similar,Slightly Similar,Not Similar,Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,No,Continue,Moderately Similar,Not Similar,Slightly Similar,Very Similar,Similar,Similar,,,,,,,,,,,,,,,,,,,3,0,3,,,,,,,
07/09/2023 17:05,07/09/2023 17:17,100,741,TRUE,07/09/2023 17:17,R_3lYS6mLft5j6zOW,,,,,51.3488,-0.0321,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,Asian-Chinese,"Jazz ,Pop ",,23,Nonmusician,Continue,,Extremely Similar,Not at all similar,Moderately Similar,Moderately Similar,Not Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,No,Continue,Slightly Similar,Not at all similar,Slightly Similar,Extremely Similar,Similar,Not at all similar,,,,,,,,,,,,,,,,,,,3,0,3,,,,,,,
07/09/2023 17:12,07/09/2023 17:33,100,1299,TRUE,07/09/2023 17:34,R_3HisdY4MorykVUz,,,,,58.3619,25.5897,qr,EN-GB,Yes,Estonia,White northern European,"Jazz ,Pop ,Others",Musicals,20,Music-loving nonmusician,,Continue,,,,,,,,,,,,,,,,,,,Similar,Moderately Similar,Similar,Moderately Similar,Very Similar,"I can now count the number of beats, and I am ready to continue.",No,Yes,Yes,No,No,Continue,Similar,Slightly Similar,Slightly Similar,Moderately Similar,Similar,Very Similar,0,4,,,,,4,,,
07/09/2023 19:35,07/09/2023 19:39,100,260,TRUE,07/09/2023 19:39,R_1Fxdb0XA8qhREvT,,,,,54.7699,-1.559,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,Asian-British,"Jazz ,Rock  ,Pop ,Opera ,Reggae ,Latin ,Indian Classical ,Other Indian Music",,24,Amateur musician,Continue,,Similar,Moderately Similar,Slightly Similar,Slightly Similar,Slightly Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,No,Continue,Slightly Similar,Slightly Similar,Slightly Similar,Moderately Similar,Moderately Similar,Slightly Similar,,,,,,,,,,,,,,,,,,,3,0,3,,,,,,,
07/09/2023 20:31,07/09/2023 20:39,100,504,TRUE,07/09/2023 20:39,R_1Lo4NDOtuexfKUY,,,,,52.28,10.5855,anonymous,EN-GB,Yes,Germany,Asian-Indian,"Indian Classical ,Other Indian Music",,26,Music-loving nonmusician,,Continue,,,,,,,,,,,,,,,,,,,Similar,Slightly Similar,Slightly Similar,Moderately Similar,Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,No,Continue,Very Similar,Not Similar,Moderately Similar,Slightly Similar,Extremely Similar,Extremely Similar,0,4,,,,,4,,,
07/09/2023 20:41,07/09/2023 20:56,100,900,TRUE,07/09/2023 20:56,R_2aay8ZnpZ0XtRTi,,,,,52.5466,13.4415,anonymous,EN-GB,Yes,Germany,Indian,"Jazz ,Rock  ,Pop ,Metal ,Folk ,Reggae ,Latin ,Western Classical ,Indian Classical ,Other Indian Music,Others","progressive rock, funk, blues, country.",25,Serious amateur musician,Continue,,Very Similar,Similar,Very Similar,Very Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,Yes,Continue,Very Similar,Similar,Very Similar,Very Similar,Extremely Similar,Very Similar,,,,,,,,,,,,,,,,,,,4,0,4,,,,,,,
07/09/2023 20:56,07/09/2023 21:05,100,523,TRUE,07/09/2023 21:05,R_1NkTXt2QTgDDUqw,,,,,51.5368,9.8921,anonymous,EN-GB,Yes,Germany,Asian-Indian,"Pop ,Folk ,Indian Classical ,Other Indian Music",,25,Nonmusician,,Continue,,,,,,,,,,,,,,,,,,,Similar,Similar,Very Similar,Extremely Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",No,Yes,No,No,Yes,Continue,Slightly Similar,Similar,Very Similar,Extremely Similar,Extremely Similar,Extremely Similar,0,4,,,,,4,,,
07/09/2023 21:14,07/09/2023 21:21,100,421,TRUE,07/09/2023 21:21,R_4Z5P0d7Y9rcmyxb,,,,,51.3975,-0.3507,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,White - British ,"Jazz ,Rock  ,Pop ,Folk ,Latin ,Western Classical ,Others","Indie, Lo-Fi",22,Music-loving nonmusician,,Continue,,,,,,,,,,,,,,,,,,,Similar,Slightly Similar,Slightly Similar,Similar,Moderately Similar,"I can now count the number of beats, and I am ready to continue.",No,Yes,No,No,No,Continue,Very Similar,Slightly Similar,Moderately Similar,Very Similar,Similar,Similar,0,5,,,,,5,,,
